,Status,Dept_Short,End_Year,Edu_Short,畢業滿_年
4070,畢業,四技會資,106,日四技,1
4071,畢業,四技會資,106,日四技,3
4072,畢業,四技會資,106,日四技,1
4073,畢業,四技會資,107,日四技,1
4074,畢業,四技會資,106,日四技,3
4075,畢業,四技會資,106,日四技,5
4076,畢業,四技會資,106,日四技,1
4077,畢業,四技會資,107,日四技,3
4078,畢業,四技會資,107,日四技,1
4079,畢業,四技會資,106,日四技,1
4080,畢業,四技會資,106,日四技,1
4081,畢業,四技會資,106,日四技,3
4082,畢業,四技會資,106,日四技,5
4083,畢業,四技會資,106,日四技,3
4084,畢業,四技會資,106,日四技,1
4085,畢業,四技會資,106,日四技,3
4086,畢業,四技會資,106,日四技,1
4087,畢業,四技會資,106,日四技,3
4088,畢業,四技會資,106,日四技,1
4089,畢業,四技會資,106,日四技,3
4090,畢業,四技會資,106,日四技,3
4091,畢業,四技會資,106,日四技,1
4092,畢業,四技會資,106,日四技,5
4093,畢業,四技會資,106,日四技,3
4094,畢業,四技會資,106,日四技,1
4095,畢業,四技會資,106,日四技,3
4096,畢業,四技會資,106,日四技,5
4097,畢業,四技會資,106,日四技,3
4098,畢業,四技資管,106,日四技,3
4099,畢業,四技資管,106,日四技,5
4100,畢業,四技資管,106,日四技,1
4101,畢業,四技資管,107,日四技,3
4102,畢業,四技會資,106,日四技,3
4103,畢業,四技會資,106,日四技,1
4104,畢業,四技會資,106,日四技,5
4105,畢業,四技會資,106,日四技,3
4106,畢業,四技會資,106,日四技,3
4107,畢業,四技會資,106,日四技,5
4108,畢業,四技會資,106,日四技,1
4109,畢業,四技會資,106,日四技,1
4110,畢業,四技會資,106,日四技,3
4111,畢業,四技會資,106,日四技,5
4112,畢業,四技會資,106,日四技,3
4113,畢業,四技會資,106,日四技,3
4114,畢業,四技會資,106,日四技,3
4115,畢業,四技會資,106,日四技,1
4116,畢業,四技會資,106,日四技,3
4117,畢業,四技會資,106,日四技,1
4118,畢業,四技會資,106,日四技,3
4119,畢業,四技會資,106,日四技,1
4120,畢業,四技會資,106,日四技,5
4121,畢業,四技會資,106,日四技,3
4122,畢業,四技會資,106,日四技,3
4123,畢業,四技會資,107,日四技,1
4124,畢業,四技會資,106,日四技,1
